Ticket;Open;Time;Type;Size;Item;Price;S,L;T,P;Close;Time;Price;Commission;Taxes;Swap;
17470728;29,09,2021;19:58:06;buy;0,79;eurusd;1,16012;0;1,15958;30,09,2021;16:34:27;1,15958;-3,16;0;-3,36;
17128024;20,09,2021;05:24:01;buy;0,79;eurusd;1,17133;0;1,17174;20,09,2021;16:17:59;1,17174;-3,16;0;0;
17065299;16,09,2021;16:13:00;buy;0,79;eurusd;1,17521;0;1,17678;16,09,2021;17:51:51;1,17678;-3,16;0;0;
16896460;13,09,2021;09:31:01;buy;0,79;eurusd;1,17843;0;1,17879;13,09,2021;16:19:09;1,17879;-3,16;0;0;
17469522;29,09,2021;19:36:00;buy;0,57;eurusd;1,16066;0;1,15958;30,09,2021;16:34:27;1,15958;-2,27;0;-2,42;
17127409;20,09,2021;05:11:01;buy;0,57;eurusd;1,17176;0;1,17174;20,09,2021;16:17:59;1,17174;-2,27;0;0;
17061876;16,09,2021;15:37:00;buy;0,57;eurusd;1,17568;0;1,17678;16,09,2021;17:51:51;1,17678;-2,27;0;0;
16893682;13,09,2021;08:11:01;buy;0,57;eurusd;1,17915;0;1,17879;13,09,2021;16:19:09;1,17879;-2,27;0;0;
17464891;29,09,2021;17:45:00;buy;0,4;eurusd;1,16113;0;1,15958;30,09,2021;16:34:27;1,15958;-1,6;0;-1,7;
17125966;20,09,2021;04:08:03;buy;0,4;eurusd;1,17218;0;1,17174;20,09,2021;16:17:59;1,17174;-1,6;0;0;
17057080;16,09,2021;13:42:01;buy;0,4;eurusd;1,17642;0;1,17678;16,09,2021;17:51:51;1,17678;-1,6;0;0;
16892226;13,09,2021;07:47:02;buy;0,4;eurusd;1,17974;0;1,17879;13,09,2021;16:19:09;1,17879;-1,6;0;0;
17462837;29,09,2021;17:24:02;buy;0,29;eurusd;1,16185;0;1,15958;30,09,2021;16:34:27;1,15958;-1,15;0;-1,23;
17116748;17,09,2021;19:58:03;buy;0,29;eurusd;1,17257;0;1,17174;20,09,2021;16:17:59;1,17174;-1,15;0;-1,25;
17051985;16,09,2021;12:10:00;buy;0,29;eurusd;1,17701;0;1,17678;16,09,2021;17:51:51;1,17678;-1,15;0;0;
16955212;14,09,2021;10:22:01;sell;0,29;eurusd;1,18292;0;1,18121;14,09,2021;12:42:12;1,18121;-1,18;0;0;
16889338;13,09,2021;04:08:00;buy;0,29;eurusd;1,18035;0;1,17879;13,09,2021;16:19:08;1,17879;-1,15;0;0;
17461163;29,09,2021;17:12:02;buy;0,21;eurusd;1,16269;0;1,15958;30,09,2021;16:34:27;1,15958;-0,84;0;-0,89;
17113348;17,09,2021;18:10:03;buy;0,21;eurusd;1,17321;0;1,17174;20,09,2021;16:17:59;1,17174;-0,84;0;-0,9;
17050385;16,09,2021;11:38:00;buy;0,21;eurusd;1,17759;0;1,17678;16,09,2021;17:51:51;1,17678;-0,84;0;0;
16994417;14,09,2021;22:25:00;buy;0,21;eurusd;1,1804;0;1,18166;15,09,2021;10:35:01;1,18166;-0,84;0;-0,91;
16954012;14,09,2021;10:13:02;sell;0,21;eurusd;1,1822;0;1,18121;14,09,2021;12:42:12;1,18121;-0,86;0;0;
16888521;13,09,2021;03:23:21;buy;0,21;eurusd;1,18085;0;1,17879;13,09,2021;16:19:08;1,17879;-0,84;0;0;
17457879;29,09,2021;16:38:00;buy;0,15;eurusd;1,16359;0;1,15958;30,09,2021;16:34:27;1,15958;-0,6;0;-0,64;
17111152;17,09,2021;17:51:00;buy;0,15;eurusd;1,17406;0;1,17174;20,09,2021;16:17:59;1,17174;-0,6;0;-0,65;
17047785;16,09,2021;10:53:00;buy;0,15;eurusd;1,178;0;1,17678;16,09,2021;17:51:51;1,17678;-0,6;0;0;
16993322;14,09,2021;22:00:02;buy;0,15;eurusd;1,18081;0;1,18166;15,09,2021;10:35:01;1,18166;-0,6;0;-0,65;
16932532;13,09,2021;18:31:00;sell;0,15;eurusd;1,18157;0;1,18121;14,09,2021;12:42:12;1,18121;-0,62;0;-0,05;
16879910;10,09,2021;20:24:02;buy;0,15;eurusd;1,18126;0;1,17879;13,09,2021;16:19:08;1,17879;-0,6;0;-0,65;
17545771;01,10,2021;15:08:00;sell;0,11;eurusd;1,16049;0;1,15928;01,10,2021;17:04:10;1,15928;-0,45;0;0;
17449404;29,09,2021;14:19:00;buy;0,11;eurusd;1,16415;0;1,15958;30,09,2021;16:34:26;1,15958;-0,44;0;-0,47;
17171773;21,09,2021;04:59:01;sell;0,11;eurusd;1,17389;0;1,17244;21,09,2021;10:37:41;1,17244;-0,45;0;0;
17107390;17,09,2021;17:14:01;buy;0,11;eurusd;1,17481;0;1,17174;20,09,2021;16:17:59;1,17174;-0,44;0;-0,47;
17045145;16,09,2021;10:16:03;buy;0,11;eurusd;1,17882;0;1,17678;16,09,2021;17:51:51;1,17678;-0,44;0;0;
16992345;14,09,2021;21:36:02;buy;0,11;eurusd;1,18119;0;1,18166;15,09,2021;10:35:01;1,18166;-0,44;0;-0,48;
16930371;13,09,2021;17:56:01;sell;0,11;eurusd;1,18078;0;1,18121;14,09,2021;12:42:11;1,18121;-0,45;0;-0,04;
16877934;10,09,2021;19:03:01;buy;0,11;eurusd;1,18172;0;1,17879;13,09,2021;16:19:08;1,17879;-0,44;0;-0,48;
17567072;04,10,2021;03:11:00;sell;0,08;eurusd;1,16111;0;1,15983;04,10,2021;04:41:14;1,15983;-0,33;0;0;
17544519;01,10,2021;14:44:01;sell;0,08;eurusd;1,16007;0;1,15928;01,10,2021;17:04:09;1,15928;-0,33;0;0;
17449085;29,09,2021;14:17:01;buy;0,08;eurusd;1,16468;0;1,15958;30,09,2021;16:34:27;1,15958;-0,32;0;-0,34;
17392854;28,09,2021;10:11:00;buy;0,08;eurusd;1,16737;0;1,16872;28,09,2021;10:59:58;1,16872;-0,32;0;0;
17159357;20,09,2021;18:13:01;sell;0,08;eurusd;1,17338;0;1,17244;21,09,2021;10:37:41;1,17244;-0,33;0;-0,03;
17104647;17,09,2021;16:45:00;buy;0,08;eurusd;1,17556;0;1,17174;20,09,2021;16:17:59;1,17174;-0,32;0;-0,34;
17043434;16,09,2021;09:59:02;buy;0,08;eurusd;1,17923;0;1,17678;16,09,2021;17:51:50;1,17678;-0,32;0;0;
17009130;15,09,2021;11:54:00;sell;0,08;eurusd;1,18285;0;1,18143;15,09,2021;15:49:30;1,18143;-0,33;0;0;
16984095;14,09,2021;17:35:01;buy;0,08;eurusd;1,18165;0;1,18166;15,09,2021;10:35:01;1,18166;-0,32;0;-0,35;
16923924;13,09,2021;17:02:00;sell;0,08;eurusd;1,18033;0;1,18121;14,09,2021;12:42:11;1,18121;-0,33;0;-0,03;
16876859;10,09,2021;18:47:00;buy;0,08;eurusd;1,18217;0;1,17879;13,09,2021;16:19:09;1,17879;-0,32;0;-0,35;
16859007;10,09,2021;11:12:00;sell;0,08;eurusd;1,1849;0;1,18345;10,09,2021;12:56:53;1,18345;-0,33;0;0;
16808692;08,09,2021;21:37:04;sell;0,08;eurusd;1,18298;0;1,18168;08,09,2021;23:02:40;1,18168;-0,33;0;0;
16787449;08,09,2021;12:53:00;buy;0,08;eurusd;1,18134;0;1,18269;08,09,2021;15:04:01;1,18269;-0,32;0;0;
16777380;08,09,2021;09:31:01;buy;0,08;eurusd;1,18291;0;1,18424;08,09,2021;10:24:05;1,18424;-0,32;0;0;
16752004;07,09,2021;16:27:04;buy;0,08;eurusd;1,18441;0;1,18585;07,09,2021;16:38:31;1,18585;-0,32;0;0;
17565740;04,10,2021;01:21:00;sell;0,05;eurusd;1,16069;0;1,15983;04,10,2021;04:41:14;1,15983;-0,21;0;0;
17543936;01,10,2021;14:35:00;sell;0,05;eurusd;1,15982;0;1,15928;01,10,2021;17:04:10;1,15928;-0,21;0;0;
17511370;30,09,2021;19:14:01;buy;0,05;eurusd;1,1565;0;1,15802;30,09,2021;21:50:29;1,15802;-0,2;0;0;
17446923;29,09,2021;13:23:00;buy;0,05;eurusd;1,1657;0;1,15958;30,09,2021;16:34:26;1,15958;-0,2;0;-0,21;
17421184;28,09,2021;18:02:00;buy;0,05;eurusd;1,16705;0;1,1686;28,09,2021;18:36:56;1,1686;-0,2;0;0;
17417925;28,09,2021;17:25:02;sell;0,05;eurusd;1,16983;0;1,16832;28,09,2021;17:43:44;1,16832;-0,21;0;0;
17390879;28,09,2021;09:52:00;buy;0,05;eurusd;1,16778;0;1,16872;28,09,2021;10:59:58;1,16872;-0,2;0;0;
17381135;28,09,2021;03:50:02;buy;0,05;eurusd;1,16872;0;1,17004;28,09,2021;08:00:52;1,17004;-0,2;0;0;
17353588;27,09,2021;11:36:00;buy;0,05;eurusd;1,16888;0;1,17042;27,09,2021;13:42:48;1,17042;-0,2;0;0;
17202038;21,09,2021;18:30:01;buy;0,05;eurusd;1,17157;0;1,17308;21,09,2021;21:02:11;1,17308;-0,2;0;0;
17188357;21,09,2021;15:11:00;sell;0,05;eurusd;1,17485;0;1,17349;21,09,2021;15:42:28;1,17349;-0,21;0;0;
17158130;20,09,2021;17:49:01;sell;0,05;eurusd;1,17288;0;1,17244;21,09,2021;10:37:41;1,17244;-0,21;0;-0,02;
17102833;17,09,2021;16:27:00;buy;0,05;eurusd;1,176;0;1,17174;20,09,2021;16:17:59;1,17174;-0,2;0;-0,22;
17042734;16,09,2021;09:54:01;buy;0,05;eurusd;1,17968;0;1,17678;16,09,2021;17:51:51;1,17678;-0,2;0;0;
17008364;15,09,2021;11:44:00;sell;0,05;eurusd;1,18229;0;1,18143;15,09,2021;15:49:30;1,18143;-0,21;0;0;
16981925;14,09,2021;17:03:00;buy;0,05;eurusd;1,18211;0;1,18166;15,09,2021;10:35:01;1,18166;-0,2;0;-0,22;
16922710;13,09,2021;16:55:00;sell;0,05;eurusd;1,1799;0;1,18121;14,09,2021;12:42:11;1,18121;-0,21;0;-0,02;
16869271;10,09,2021;15:58:00;buy;0,05;eurusd;1,18264;0;1,17879;13,09,2021;16:19:08;1,17879;-0,2;0;-0,22;
